10,"Keine Verbindung zur Nintendo"
,"Wi-Fi Connection möglich."
,"Besuche support.nintendo.com"
,"oder lies die"
,"Software-Anleitung,"
,"um weitere Hilfe zu erhalten."
11,"Es konnte keine Verbindung hergestellt werden."
,"Entweder ist die Nintendo Wi-Fi Connection"
,"mit starkem Datenverkehr ausgelastet oder"
,"der Service steht vorübergehend nicht zur"
,"Verfügung."
,"Versuche es später noch einmal."
,"Besuche support.nintendo.com,"
,"um weitere Hilfe zu erhalten."
12,"Der Nintendo Wi-Fi Connection"
,"Service für diesen Titel wurde"
,"eingestellt. Besuche"
,"support.nintendo.com,"
,"um eine Liste der Titel"
,"einzusehen, die Nintendo Wi-Fi"
,"Connection unterstützen."
13,"Nicht genügend freier"
,"Platz im Speicher"
,"der Wii-Konsole vorhanden."
,"Schalte die Konsole aus oder"
,"kehre zurück zum Wii-Menü."
14,"Der Speicher der Wii-Konsole"
,"ist beschädigt."
,"Bitte lies die"
,"Wii-Bedienungsanleitung,"
,"um weitere Informationen"
,"zu erhalten."
15,"Es kann keine Verbindung zum"
,"Internet hergestellt werden."
,"Bitte überprüfe die"
,"Einstellungen der Verbindung"
,"in den Internet-Einstellungen."
16,"Fehler bei der"
,"Datenübertragung."
,"Die Verbindung zur"
,"Nintendo Wi-Fi Connection"
,"wurde unterbrochen."
,"Bitte versuche es erneut."
,"Besuche support.nintendo.com,"
,"um weitere Hilfe zu erhalten."
17,"Fehler bei der"
,"Datenübertragung."
,"Versuche es bitte noch einmal."
,"Besuche support.nintendo.com,"
,"um weitere Hilfe zu erhalten."
18,"Ein Fehler ist aufgetreten."
,"Die Nintendo Wi-Fi Connection"
,"kann nicht verwendet werden."
,"Bitte betätige den RESET-Knopf"
,"und versuche es erneut."
,"Besuche support.nintendo.com,"
,"um weitere Hilfe zu erhalten."
19,"Fehler-Code: {{N}}"
20,"O.K."
21,"Die Verwendung der"
,"Netzwerkfunktionen ist"
,"eingeschränkt."
,"Überprüfe die Einstellungen"
,"der Altersbeschränkungen"
,"in den Wii-Optionen."
22,"O.K."
